Account, LUEs, InstalledMonth
001-0000100,1,622
001-0000200,1,594
001-0000201,1,602
001-0000300,1,540
001-0000400,1,544
001-0000500,1,536
001-0000600,1,536
001-0000700,3.3,634
001-0000800,1,621
001-0000892,1,641
001-0000900,1,592
001-0001000,1,622
001-0001100,1,636
001-0001200,1,496
001-0001400,1,496
001-0001500,1,585
001-0001900,1,583
001-0002400,1,630
001-0002600,1,454
001-0002800,1,591
001-0003000,3.3,630
001-0003200,1,592
001-0003265,1,598
001-0003300,1,496
001-0003400,1,592
001-0003500,1,592
001-0003600,1,630
001-0003700,3.3,555
001-0003800,3.3,546
001-0003900,1,592
001-0004000,1,468
001-0004100,1,549
001-0004200,1,562
001-0004400,1,529
001-0004500,1,586
001-0004600,1,590
001-0004700,1,522
001-0004800,1,592
001-0004900,1,549
001-0005000,1,592
001-0005070,1,629
001-0005100,1,509
001-0005200,1,592
001-0005252,1,644
001-0005300,1,522
001-0005400,1,592
001-0005500,1,592
001-0005600,1,628
001-0005700,1,592
001-0005800,3.3,468
001-0005900,1,592
001-0006000,1,601
001-0006100,1,592
001-0006126,1,622
001-0006127,1,622
001-0006200,1,473
001-0006211,1,629
001-0006300,1,514
001-0006400,1,567
001-0006500,1,522
001-0006600,1,462
001-0006700,1,596
001-0006767,3.3,633
001-0006800,1,473
001-0006910,1,626
001-0006912,1,626
001-0007000,1,535
001-0007005,1,643
001-0007006,1,592
001-0007007,1,592
001-0007100,1,600
001-0007200,1,466
001-0007300,1,519
001-0007301,12,585
001-0007400,1,584
001-0007420,1,597
001-0007500,1,514
001-0007600,1,611
001-0007729,1,622
001-0007800,1,479
001-0007900,1,497
001-0008000,1,497
001-0008100,1,508
001-0008200,1,588
001-0008254,1,605
001-0008300,1,600
001-0008400,1,594
001-0008500,1,592
001-0008505,3.3,591
001-0008600,1,592
001-0008700,1,480
001-0008778,1,627
001-0008800,1,508
001-0008900,1,458
001-0008933,1,605
001-0008954,1,596
001-0009000,1,508
001-0009025,1,603
001-0009100,1,508
001-0009200,1,456
001-0009241,1,625
001-0009300,1,508
001-0009400,1,563
001-0009500,1,591
001-0009600,1,558
001-0009700,1,458
001-0009800,1,596
001-0009851,1,598
001-0009900,1,477
001-0009998,12,628
001-0009999,35,622
001-0010000,1,522
001-0010043,3.3,635
001-0010200,1,582
001-0010300,1,582
001-0010400,1,459
001-0010500,1,508
001-0010600,1,635
001-0010700,1,459
001-0010701,1,593
001-0010779,1,630
001-0010800,1,508
001-0010900,1,544
001-0010916,1,623
001-0010998,1,621
001-0011000,1,480
001-0011100,1,508
001-0011177,1,644
001-0011200,1,630
001-0011240,1,635
001-0011300,1,567
001-0011400,1,563
001-0011500,1,544
001-0011700,1,487
001-0011745,1,628
001-0011900,1,611
001-0011964,1,645
001-0012000,1,460
001-0012100,1,460
001-0012141,1,644
001-0012300,1,613
001-0012400,1,588
001-0012500,1,480
001-0012600,1,614
001-0012700,1,635
001-0012800,1,584
001-0013000,1,480
001-0013001,1,592
001-0013100,1,480
001-0013111,1,581
001-0013200,1,480
001-0013299,1,640
001-0013300,1,458
001-0013349,1,638
001-0013400,1,450
001-0013500,1,555
001-0013700,1,458
001-0014300,1,637
001-0014400,1,522
001-0014500,1,522
001-0014568,1,627
001-0014600,1,406
001-0014700,1,522
001-0014800,3.3,526
001-0015000,1,627
001-0015100,1,464
001-0015200,1,464
001-0015300,1.3,406
001-0015400,1,464
001-0015405,1,600
001-0015500,1,583
001-0015600,1,464
001-0015700,1,619
001-0015800,1,593
001-0015900,1,464
001-0016000,1,453
001-0016001,1,570
001-0016200,1,508
001-0016300,1,496
001-0016400,1,521
001-0016500,1,522
001-0016600,1,522
001-0016610,1,556
001-0016700,1,458
001-0016701,1,584
001-0016800,1,465
001-0016900,1,507
001-0017000,1,522
001-0017100,1,630
001-0017200,1,522
001-0017300,1,480
001-0017400,3.3,524
001-0017500,1,591
001-0017600,1,568
001-0017700,1,518
001-0017800,1,522
001-0017900,1,589
001-0018000,1,522
001-0018100,1,635
001-0018200,1,455
001-0018300,1,635
001-0018400,1,522
001-0018500,1,632
001-0018600,1,596
001-0018800,1.3,469
001-0019000,1,522
001-0019100,1,522
001-0019200,1.3,480
001-0019300,1,427
001-0019400,1,630
001-0019500,1,451
001-0019700,1,574
001-0019900,1,593
001-0020000,1,574
001-0020100,1,514
001-0020200,1,574
001-0020300,1,533
001-0020400,1,627
001-0020500,1,630
001-0020519,1,586
001-0020600,1,594
001-0020601,1,628
001-0020700,1,591
001-0020800,1,469
001-0020900,1,565
001-0020901,1,586
001-0021000,3.3,593
001-0021100,1,514
001-0021300,1,472
001-0021400,1,597
001-0021500,1,597
001-0021600,1,579
001-0021700,1,454
001-0021800,1,577
001-0021900,1,568
001-0022000,1,454
001-0022100,1,583
001-0022200,1,454
001-0022300,1,584
001-0022400,1,522
001-0022500,3.3,596
001-0022700,1,454
001-0022800,1,543
001-0022900,1,454
001-0023000,1,450
001-0023100,3.3,559
001-0023300,1,522
001-0023400,1,496
001-0023500,1,588
001-0023600,1,627
001-0023700,1,519
001-0023800,1,522
001-0023900,1,496
001-0024000,1,599
001-0024100,1,496
001-0024200,1,437
001-0024300,1,521
001-0024400,1,588
001-0024500,1,610
001-0024600,3.3,533
001-0024700,1,522
001-0024800,1,588
001-0024852,3.3,567
001-0024900,1,588
001-0025000,1,458
001-0025100,1,577
001-0025200,1,568
001-0025300,1,606
001-0025400,1,522
001-0025489,3.3,596
001-0025500,1,489
001-0025600,1,496
001-0025700,1,602
001-0026000,1,458
001-0026100,1,458
001-0026200,1,496
001-0026300,1,597
001-0026400,3.3,562
001-0026500,3.3,526
001-0026600,1,518
001-0026700,1,473
001-0026800,1,568
001-0026900,1,514
001-0027000,1,522
001-0027100,1,456
001-0027200,1,591
001-0027300,1,462
001-0027400,1,512
001-0027500,1,500
001-0027600,1,563
001-0027700,1,608
001-0027800,1,630
001-0027900,1,522
001-0028000,1,574
001-0028100,1,472
001-0028200,1,514
001-0028300,1,471
001-0028400,1,626
001-0028500,1,496
001-0028600,1,458
001-0028700,1,452
001-0028800,1,522
001-0028900,1,585
001-0028911,1,608
001-0029000,1,508
001-0029100,1,522
001-0029200,1,522
001-0029300,1,476
001-0029400,1,522
001-0029500,1,522
001-0029600,1,468
001-0029700,1,452
001-0029800,1,468
001-0029900,1,563
001-0030000,1,472
001-0030100,1,509
001-0030200,1,566
001-0030300,1,522
001-0030400,1,522
001-0030500,1,452
001-0030600,1,522
001-0030700,1,522
001-0030800,1,598
001-0030900,1,458
001-0031000,1,522
001-0031100,1,509
001-0031200,1,630
001-0031300,1,472
001-0031400,1,616
001-0031500,1,452
001-0031600,1,522
001-0031700,1,509
001-0031800,1,630
001-0031900,1,452
001-0032000,1,522
001-0032100,1,611
001-0032200,1,630
001-0032300,1,600
001-0032400,1,576
001-0032500,1,576
001-0032584,1,619
001-0032600,1,615
001-0032700,1,522
001-0032800,1,522
001-0032900,1,452
001-0033000,1,521
001-0033100,1,541
001-0033200,1,636
001-0033300,1,522
001-0033400,1,496
001-0033500,1,522
001-0033600,1,522
001-0033700,1,544
001-0033800,1,458
001-0033900,1,563
001-0034000,1,626
001-0034100,1,522
001-0034200,1,522
001-0034300,1,597
001-0034400,1,469
001-0034500,1,469
001-0034600,1,458
001-0034700,1,458
001-0034800,1,605
001-0035000,1,472
001-0035100,1,576
001-0035144,5,620
001-0035200,1,458
001-0035300,1,549
001-0035400,1,458
001-0035500,1,460
001-0035600,1,568
001-0035700,1,458
001-0035800,1,406
001-0035813,1,630
001-0035900,1,522
001-0036000,1,590
001-0036100,1,567
001-0036200,1,458
001-0036300,1,472
001-0036400,1,458
001-0036500,1,581
001-0036700,1,544
001-0036800,1,496
001-0036900,1,467
001-0036958,1,591
001-0037100,1,566
001-0037200,1,517
001-0037300,1,480
001-0037400,1,513
001-0037600,1,568
001-0037700,1,513
001-0037800,1,513
001-0037900,1,458
001-0038000,1,514
001-0038100,1,514
001-0038200,1,514
001-0038300,1,546
001-0038400,1,513
001-0038500,1,472
001-0038591,1,608
001-0038600,1,472
001-0038700,1,463
001-0038800,1,588
001-0038900,1,514
001-0039000,1,514
001-0039100,1,487
001-0039200,1,600
001-0039300,1,521
001-0039400,1,621
001-0039500,1,514
001-0039551,3.3,620
001-0039600,1,563
001-0039700,1,514
001-0039800,1,526
001-0039900,1,514
001-0040000,1,514
001-0040100,1,474
001-0040200,1,480
001-0040300,1,550
001-0040401,1,622
001-0040500,1,630
001-0040800,1,577
001-0041000,1,515
001-0041100,1,480
001-0041200,1,480
001-0041300,1,615
001-0041400,1,615
001-0041500,1,615
001-0041600,1,615
001-0041700,1,615
001-0041800,1,615
001-0041900,1,615
001-0042000,1,583
001-0042100,1,600
001-0042200,1,576
001-0042300,1,515
001-0042400,1,522
001-0042500,1,515
001-0042600,1,514
001-0042700,1,514
001-0042800,1,566
001-0042900,1,458
001-0043100,1,522
001-0043200,1,519
001-0043300,1,469
001-0043400,1,467
001-0043500,1,496
001-0043600,1,522
001-0043700,1,456
001-0043800,1,594
001-0043900,1,480
001-0044000,1,568
001-0044100,1,522
001-0044200,1,502
001-0044300,1,522
001-0044400,1,563
001-0044500,1,594
001-0044600,1,583
001-0044700,1,497
001-0044800,1,453
001-0044900,3.3,600
001-0045000,1,627
001-0045100,1,469
001-0045200,1,634
001-0045300,1,591
001-0045500,1,522
001-0045600,1,497
001-0045700,1,469
001-0045800,1,522
001-0045816,1,620
001-0045900,1,524
001-0046000,1,469
001-0046100,1,464
001-0046200,1,468
001-0046300,1,602
001-0046400,1,522
001-0046500,1,524
001-0046600,1,522
001-0046700,1,563
001-0046800,1,522
001-0046900,1,522
001-0047000,1,615
001-0047100,1,615
001-0047200,1,615
001-0047205,1,626
001-0047300,1,524
001-0047400,1,521
001-0047500,1,615
001-0047600,1,615
001-0047700,1,615
001-0047800,1,522
001-0047900,1,522
001-0048000,5,590
001-0048001,1,566
001-0048005,1,565
001-0048015,5,630
001-0048100,1,590
001-0048200,1,508
001-0048300,1,561
001-0048400,1,522
001-0048500,1,590
001-0048600,1,522
001-0048700,1,453
001-0048800,1,469
001-0048900,1,522
001-0048932,1,608
001-0049000,1,522
001-0049100,1,462
001-0049300,1,520
001-0049400,1,499
001-0049500,1,522
001-0049600,1,522
001-0049800,1,522
001-0049900,1,496
001-0050000,1,508
001-0050100,1,472
001-0050200,1,590
001-0050300,1,568
001-0050400,3.3,597
001-0050500,1,508
001-0050600,1,466
001-0050700,1,466
001-0050800,1,523
001-0050900,1,522
001-0051000,1,586
001-0051100,1,497
001-0051200,1,579
001-0051300,1,453
001-0051400,1,521
001-0051500,1,544
001-0051600,1,466
001-0051700,1,458
001-0051705,1,604
001-0051800,1,544
001-0051900,1,462
001-0052000,1,629
001-0052100,1,583
001-0052200,1,445
001-0052300,1,462
001-0052400,1,462
001-0052500,1,462
001-0052600,1,405
001-0052700,1,575
001-0052800,1,462
001-0052900,1,611
001-0053000,1,462
001-0053100,1,462
001-0053200,1,462
001-0053300,1,462
001-0053400,1,462
001-0053500,1,522
001-0053600,1,522
001-0053700,1,458
001-0053800,1,469
001-0053900,1,510
001-0054000,1,522
001-0054100,1,469
001-0054200,1,544
001-0054300,1,522
001-0054400,1,522
001-0054500,1,410
001-0054600,1,522
001-0054700,1,514
001-0054800,1,458
001-0054900,1,522
001-0055000,1,546
001-0055100,1,613
001-0055200,1,582
001-0055300,1,479
001-0055400,1,583
001-0055500,3.3,453
001-0055600,3.3,544
001-0055669,1,630
001-0055700,1,621
001-0055710,1,621
001-0055800,1,460
001-0055845,1,573
001-0055900,12,609
001-0056000,1,625
001-0056001,1,570
001-0056003,1,570
001-0056100,1,462
001-0056200,1,506
001-0056300,1,462
001-0056400,1,523
001-0056500,1,523
001-0056600,1,568
001-0056700,1,524
001-0056800,1,472
001-0056900,1,472
001-0057000,1,473
001-0057100,12,584
001-0057200,12,448
001-0057300,1,605
001-0057400,1,523
001-0057500,1,523
001-0057600,1,553
001-0057700,1,594
001-0058000,1,473
001-0058200,1,593
001-0058201,1,583
001-0058300,1,454
001-0058500,1,586
001-0058600,1,588
001-0058700,1,589
001-0058800,1,454
001-0058900,1,523
001-0058971,3.3,609
001-0059000,1,523
001-0059100,1,453
001-0059300,1,607
001-0059400,1,523
001-0059450,1,626
001-0059500,1,644
001-0059600,1,453
001-0059685,1,587
001-0059700,1,508
001-0059800,1,508
001-0059900,1,508
001-0060000,1,472
001-0060100,3.3,592
001-0060200,1,574
001-0060300,1,472
001-0060500,1,514
001-0060700,1,523
001-0060800,3.3,591
001-0060900,1,523
001-0061000,1,473
001-0061100,1,462
001-0061200,1,553
001-0061300,1,553
001-0061400,1,453
001-0061500,1,453
001-0061600,1,453
001-0061700,1,586
001-0061800,1,631
001-0061900,1,523
001-0061950,1,572
001-0061985,1,614
001-0062000,1,454
001-0062100,1,554
001-0062200,1,514
001-0062300,12,564
001-0062400,1,468
001-0062405,1,627
001-0062455,1,626
001-0062500,1,514
001-0062600,1,514
001-0062700,1,635
001-0062800,1,504
001-0062900,1,514
001-0063000,1,453
001-0063100,1,614
001-0063200,1,563
001-0063254,3.3,599
001-0063300,1,523
001-0063400,1,523
001-0063500,1,410
001-0063600,1,644
001-0063700,1,514
001-0063800,1,514
001-0063900,1,472
001-0064000,1,644
001-0064100,1,514
001-0064200,1,598
001-0064300,1,498
001-0064400,1,405
001-0064500,1,523
001-0064600,1,514
001-0064700,1,514
001-0064800,1,523
001-0064900,1,524
001-0065000,1,405
001-0065100,1,513
001-0065200,1,453
001-0065300,1,458
001-0065400,1,526
001-0065500,1,523
001-0065600,1,573
001-0065700,1,593
001-0065800,1,523
001-0065900,1,523
001-0066000,1,523
001-0066100,1,644
001-0066200,1,635
001-0066300,1,523
001-0066400,1,599
001-0066500,1,523
001-0066600,1,523
001-0066700,1,627
001-0066800,1,600
001-0066900,3.3,596
001-0067000,1,577
001-0067100,1,611
001-0067200,1,514
001-0067300,1,635
001-0067400,1,615
001-0067600,1,454
001-0067700,1,523
001-0067800,1,514
001-0067900,1,523
001-0068000,1,497
001-0068100,1,597
001-0068200,1,460
001-0068204,1,627
001-0068205,1,568
001-0068300,12,546
001-0068400,3.3,634
001-0068500,1,574
001-0068600,1,596
001-0068601,1,602
001-0068700,1,593
001-0068800,1,593
001-0068900,1,593
001-0069000,1,614
001-0069005,1,610
001-0069100,1,614
001-0069200,1,523
001-0069300,1,636
001-0069352,1,633
001-0069400,1.3,592
001-0069500,1,502
001-0069600,1,523
001-0069700,1,596
001-0069800,3.3,591
001-0069900,1,611
001-0070000,1,614
001-0070100,3.3,474
001-0070200,1,615
001-0070300,3.3,569
001-0070400,1,596
001-0070500,1,523
001-0070600,1,452
001-0070700,1,490
001-0070800,1,634
001-0070900,1,595
001-0071000,1,634
001-0071100,1,614
001-0071102,1,626
001-0071200,1,546
001-0071300,1,553
001-0071400,1,592
001-0071500,1,630
001-0071600,1,635
001-0071700,1,514
001-0071800,1,541
001-0071900,1,595
001-0072000,1,592
001-0072100,1,598
001-0072200,1,593
001-0072300,1,593
001-0072400,1,628
001-0072500,1,634
001-0072600,1,604
001-0072700,1,633
001-0072800,1,593
001-0072900,1,593
001-0073000,1,411
001-0073100,1,634
001-0073200,1,634
001-0073300,1,497
001-0073400,1,590
001-0073700,1.3,630
001-0073800,1,502
001-0073900,1,593
001-0074000,3.3,634
001-0074010,1,633
001-0074100,3.3,593
001-0074200,1,592
001-0074300,3.3,596
001-0074400,1,610
001-0074500,3.3,634
001-0074600,3.3,634
001-0074700,3.3,633
001-0074800,3.3,611
001-0074852,1,603
001-0074900,1,614
001-0075000,3.3,611
001-0075100,3.3,596
001-0075200,1,593
001-0075300,3.3,634
001-0075400,3.3,634
001-0075500,3.3,628
001-0075600,3.3,593
001-0075700,1,633
001-0075800,1,592
001-0075900,3.3,593
001-0076000,3.3,634
001-0076100,3.3,633
001-0076200,1,592
001-0076300,3.3,633
001-0076400,3.3,633
001-0076500,3.3,593
001-0076600,3.3,593
001-0076609,1,634
001-0076700,1,595
001-0076800,3.3,593
001-0076900,3.3,633
001-0077000,1,592
001-0077100,1,614
001-0077200,1,615
001-0077300,1,627
001-0077301,5,627
001-0077400,1.3,453
001-0077500,1,589
001-0077600,1,614
001-0077700,1,615
001-0077800,3.3,615
001-0077900,1,634
001-0078000,1,622
001-0078005,1,614
001-0078100,1,614
001-0078200,1,580
001-0078260,3.3,607
001-0078300,1,585
001-0078400,1,524
001-0078500,1,453
001-0078596,1,592
001-0078600,1,584
001-0078700,3.3,592
001-0078800,1,524
001-0079000,1,453
001-0079100,1,615
001-0079200,1,523
001-0079300,1,523
001-0079400,1,472
001-0079500,1,475
001-0079600,1,526
001-0079700,12,627
001-0079900,1,460
001-0080000,1,561
001-0080100,1.3,453
001-0080200,1,601
001-0080300,1,602
001-0080400,1,523
001-0080500,1,405
001-0080600,1,524
001-0080700,1,600
001-0080800,3.3,596
001-0080900,1,524
001-0081000,1,453
001-0081002,1,583
001-0081100,1,587
001-0081200,3.3,563
001-0081300,1,524
001-0081400,1,524
001-0081500,1,453
001-0081600,1,484
001-0081700,1,462
001-0081800,1,535
001-0081900,1,504
001-0081905,1,600
001-0082000,1,454
001-0082100,1,624
001-0082200,1,524
001-0082300,1,524
001-0082400,1,567
001-0082500,1,453
001-0082600,1,524
001-0082700,1,635
001-0082800,1,524
001-0082900,1,524
001-0083000,1,589
001-0083100,1,592
001-0083200,1,521
001-0083300,1,628
001-0083400,1,524
001-0083500,1,524
001-0083600,1,453
001-0083700,1,524
001-0083800,1,605
001-0083900,1,524
001-0084000,1,524
001-0084100,1,600
001-0084200,1,524
001-0084300,1,524
001-0084400,1,524
001-0084500,1,524
001-0084600,1,524
001-0084615,1,618
001-0084700,1,405
001-0084800,1,524
001-0084900,1,591
001-0085000,1,524
001-0085100,1,563
001-0085200,1,410
001-0085300,1,524
001-0085325,3.3,605
001-0085400,1.3,547
001-0085500,1,459
001-0085600,1,566
001-0085800,1,567
001-0085900,1,597
001-0086000,1,532
001-0086100,1,611
001-0086200,3.3,593
001-0086210,1,626
001-0086211,3.3,633
001-0086212,1,633
001-0086300,1,544
001-0086400,1,613
001-0086500,1,543
001-0086600,1,606
001-0086700,1,548
001-0086800,3.3,596
001-0086900,1,593
001-0087100,1,543
001-0087111,1,589
001-0087200,1,543
001-0087258,1,565
001-0087300,1,633
001-0087400,1,546
001-0087500,1,546
001-0087532,1,613
001-0087600,3.3,633
001-0087700,3.3,634
001-0087800,1,627
001-0088004,1,615
001-0088849,1,595
001-0089652,1,613
001-0089754,1,602
001-0094561,1,611
001-0096524,1,596
001-0096584,1,635
001-0099669,1,620
001-0099899,1,618
001-0100000,1,639
001-0209011,1,615
001-0488227,1,617
001-0865001,1,573
001-0968522,1,630
001-9700555,3.3,632
001-9999999,3.3,593
002-0000000,50,644
002-0000004,3.3,643
002-0000005,3.3,641
002-0000006,3.3,641
002-0000007,12,641
002-0000008,12,641
002-0000009,1,579
002-0000010,1,640
002-0000011,3.3,641
002-0000012,12,643
002-0000013,12,642
002-0000014,3.3,642
002-0000015,12,642
002-0000016,1,643
002-0000017,1,642
002-0000018,12,642
002-0000019,3.3,642
002-0000020,5,643
002-0000021,3.3,643
002-0000022,1,644
002-0000023,1,644
002-0000024,1,646
002-0000101,1,570
002-0000104,1,629
002-0000120,35,643
002-0000196,1,601
002-0000200,1,600
002-0000269,1,595
002-0000300,1,584
002-0000400,1,541
002-0000402,1,629
002-0000408,1,640
002-0000409,1,625
002-0000500,1,541
002-0000501,5,640
002-0000510,1,631
