Account, LUEs, InstalledMonth
613,001,932.2999999999987
613,002,2457.6000000000013
613,003,15.0
613,004,1023.7999999999998
613,005,2064.2
613,006,464.6
613,008,1087.6999999999996
613,010,2754.8
613,011,1776.1
613,012,1023.6999999999998
613,013,936.3999999999999
613,015,580.0
613,016,110.3
613,017,820.4999999999998
613,018,345.0
613,019,308.90000000000003
613,021,96.0
613,023,112.0
613,024,684.3
613,025,697.8999999999999
613,026,678.0
613,027,559.4999999999998
613,028,2.0
613,030,347.3
613,031,143.0
613,032,89.0
613,034,116.6
613,035,69.3
613,036,73.0
613,037,24.6
613,038,37.3
613,039,33.3
613,040,1.0
613,041,0
613,042,1.0
613,043,1.0
613,045,0
613,051,565.2
613,053,732.9
613,055,0
613,057,2.0
613,116,636.3
614,001,944.2999999999987
614,002,2458.6000000000013
614,003,16.0
614,004,1032.0999999999997
614,005,2070.2
614,006,466.6
614,008,1088.6999999999996
614,010,2771.8
614,011,1778.1
614,012,1023.6999999999998
614,013,936.3999999999999
614,015,580.0
614,016,110.3
614,017,861.4999999999998
614,018,352.0
614,019,310.90000000000003
614,021,97.0
614,023,117.0
614,024,700.3
614,025,707.8999999999999
614,026,715.0
614,027,574.4999999999998
614,028,5.0
614,030,359.3
614,031,144.0
614,032,96.0
614,034,118.6
614,035,73.3
614,036,75.0
614,037,25.6
614,038,41.3
614,039,41.3
614,040,1.0
614,041,0
614,042,1.0
614,043,1.0
614,045,0
614,051,567.2
614,053,735.9
614,055,0
614,057,2.0
614,116,653.3
615,001,968.5999999999987
615,002,2564.6000000000013
615,003,16.0
615,004,1036.0999999999997
615,005,2081.2
615,006,470.6
615,008,1089.6999999999996
615,010,2772.8
615,011,1794.1
615,012,1024.6999999999998
615,013,936.3999999999999
615,015,581.0
615,016,110.3
615,017,923.7999999999997
615,018,368.0
615,019,320.90000000000003
615,021,97.0
615,023,132.0
615,024,728.3
615,025,725.8999999999999
615,026,757.0
615,027,596.4999999999998
615,028,17.0
615,030,387.3
615,031,144.0
615,032,101.0
615,034,131.6
615,035,79.3
615,036,77.0
615,037,31.6
615,038,46.3
615,039,62.3
615,040,1.0
615,041,0
615,042,1.0
615,043,1.0
615,045,0
615,051,569.2
615,053,736.9
615,055,0
615,057,2.0
615,116,689.3
616,001,969.5999999999987
616,002,2650.6000000000017
616,003,16.0
616,004,1062.0999999999997
616,005,2083.2
616,006,471.6
616,008,1089.6999999999996
616,010,2778.8
616,011,1794.1
616,012,1024.6999999999998
616,013,957.3999999999999
616,015,581.0
616,016,110.3
616,017,964.7999999999997
616,018,389.0
616,019,331.90000000000003
616,021,98.0
616,023,150.0
616,024,745.3
616,025,756.4999999999998
616,026,791.0
616,027,616.4999999999998
616,028,17.0
616,030,419.3
616,031,144.0
616,032,108.0
616,034,139.6
616,035,91.3
616,036,78.0
616,037,35.6
616,038,47.3
616,039,87.6
616,040,1.0
616,041,0
616,042,1.0
616,043,1.0
616,045,0
616,051,569.2
616,053,737.9
616,055,0
616,057,2.0
616,116,725.3
617,001,970.5999999999987
617,002,2650.6000000000017
617,003,16.0
617,004,1064.0999999999997
617,005,2084.2
617,006,471.6
617,008,1089.6999999999996
617,010,2782.8
617,011,1797.1
617,012,1024.6999999999998
617,013,959.3999999999999
617,015,581.0
617,016,110.3
617,017,1002.7999999999997
617,018,406.0
617,019,343.90000000000003
617,021,98.0
